classification,init_url,page_num
"家用电器,个护健康,足浴盆","http://list.jd.com/list.html?cat=737,1276,963",18
"食品饮料,茗茶,白茶","http://list.jd.com/list.html?cat=1320,12202,12213",36
"个护化妆,洗发护发,洗发","http://list.jd.com/list.html?cat=1316,1386,11922",239
"图书,进口原版,Self-Help（励志自助）","http://list.jd.com/list.html?cat=1713,4855,4882",189
"电脑、办公,网络产品,网络盒子","http://list.jd.com/list.html?cat=670,699,11304",42
"礼品箱包,奢侈品,高档化妆品","http://list.jd.com/list.html?cat=1672,2615,11937",67
"母婴,营养辅食,米粉/菜粉","http://list.jd.com/list.html?cat=1319,1524,1533",116
"礼品箱包,功能箱包,妈咪包","http://list.jd.com/list.html?cat=1672,2577,5271",52
"服饰内衣,服饰配件,遮阳帽","http://list.jd.com/list.html?cat=1315,1346,9794",213
"玩具乐器,乐器,吉他/尤克里里","http://list.jd.com/list.html?cat=6233,6291,6299",240
"汽车用品,维修保养,后视镜","http://list.jd.com/list.html?cat=6728,6742,9988",260
"个护化妆,口腔护理,牙膏/牙粉","http://list.jd.com/list.html?cat=1316,1384,1405",214
"电脑、办公,电脑配件,CPU","http://list.jd.com/list.html?cat=670,677,678",14
"个护化妆,身体护理,染发/造型","http://list.jd.com/list.html?cat=1316,1383,5149",8
"家居家装,灯具,筒灯射灯","http://list.jd.com/list.html?cat=1620,1623,11971",3
"食品饮料,地方特产,云南","http://list.jd.com/list.html?cat=1320,1581,2670",8
"生鲜,水果,牛油果","http://list.jd.com/list.html?cat=12218,12221,13564",4
"服饰内衣,内衣,少女文胸","http://list.jd.com/list.html?cat=1315,1345,12009",100
"服饰内衣,男装,卫裤/运动裤","http://list.jd.com/list.html?cat=1315,1342,12003",237
"母婴,童装童鞋,内衣/家居服","http://list.jd.com/list.html?cat=1319,11842,11227",226
"运动户外,游泳用品,女士泳衣","http://list.jd.com/list.html?cat=1318,12154,12158",219
"服饰内衣,男装,西服","http://list.jd.com/list.html?cat=1315,1342,9731",249
"汽车用品,汽车装饰,挂件摆件","http://list.jd.com/list.html?cat=6728,6745,11888",334
"汽车用品,赛事改装,赛事服装","http://list.jd.com/list.html?cat=6728,13256,13257",58
"食品饮料,休闲食品,无糖食品","http://list.jd.com/list.html?cat=1320,1583,7121",26
"礼品箱包,功能箱包,拉杆箱","http://list.jd.com/list.html?cat=1672,2577,2589",217
"数码,摄影摄像,单反相机","http://list.jd.com/list.html?cat=652,654,832",143
"厨具,茶具/咖啡具,整套茶具","http://list.jd.com/list.html?cat=6196,11143,11148",224
"手机,手机配件,手机贴膜","http://list.jd.com/list.html?cat=9987,830,867",238
"个护化妆,面部护肤,面膜","http://list.jd.com/list.html?cat=1316,1381,1392",257
"家居家装,家纺,毯子","http://list.jd.com/list.html?cat=1620,1621,1630",168
"玩具乐器,乐器,乐器配件","http://list.jd.com/list.html?cat=6233,6291,6305",256
"个护化妆,洗发护发,护发","http://list.jd.com/list.html?cat=1316,1386,11923",227
